Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MainDomain,Skills,ContractType,Seniority,Certifications,AbsenceDaysLast12Months,MainAbsenceType,AttritionReason,ProjectHistory,SnapshotYear,MonthlyIncomeAtSnapshot,JobLevelAtSnapshot
37,Yes,Travel_Rarely,1373,ProdOps / Exploitation,2,2,Informatique,4,4,Male,92,2,1,Ingenieur Reseau,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,Infrastructure & Production,"Docker, SQL, Cron, ITIL, Windows Server, Nagios",CDI,Senior,Red Hat RHCSA,26,Maladie longue / Arret,salaire insuffisant,"Infrastructure & Production - Nouvelle implementation 2025 (Consultant Senior, 2025); Infrastructure & Production - Migration 2024 (Consultant Senior, 2024); Infrastructure & Production - Optimisation 2022 (Architecte, 2022); Infrastructure & Production - Migration 2021 (Consultant Senior, 2021); Infrastructure & Production - Migration 2019 (Consultant Senior, 2019)",2022,2035,1
37,Yes,Travel_Rarely,1373,ProdOps / Exploitation,2,2,Informatique,4,4,Male,92,2,1,Ingenieur Reseau,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,Infrastructure & Production,"Docker, SQL, Cron, ITIL, Windows Server, Nagios",CDI,Senior,Red Hat RHCSA,26,Maladie longue / Arret,salaire insuffisant,"Infrastructure & Production - Nouvelle implementation 2025 (Consultant Senior, 2025); Infrastructure & Production - Migration 2024 (Consultant Senior, 2024); Infrastructure & Production - Optimisation 2022 (Architecte, 2022); Infrastructure & Production - Migration 2021 (Consultant Senior, 2021); Infrastructure & Production - Migration 2019 (Consultant Senior, 2019)",2021,2061,1
33,No,Travel_Frequently,1392,SAP & ERP,3,4,Reseaux & Telecoms,5,4,Female,56,3,1,Developpeur ABAP,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,SAP / ERP Integration,"SAP PI/PO, S/4HANA, Python",CDI,Senior,"SAP Fiori Certified, SAP Certified Application Associate, SAP HANA 2.0",31,Maladie longue / Arret,Toujours en poste,"SAP / ERP Integration - Refonte 2025 (Lead Dev, 2025); SAP / ERP Integration - POC 2024 (Lead Dev, 2024); SAP / ERP Integration - Nouvelle implementation 2022 (Tech Lead, 2022)",2025,3300,1
33,No,Travel_Frequently,1392,SAP & ERP,3,4,Reseaux & Telecoms,5,4,Female,56,3,1,Developpeur ABAP,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,SAP / ERP Integration,"SAP PI/PO, S/4HANA, Python",CDI,Senior,"SAP Fiori Certified, SAP Certified Application Associate, SAP HANA 2.0",31,Maladie longue / Arret,Toujours en poste,"SAP / ERP Integration - Refonte 2025 (Lead Dev, 2025); SAP / ERP Integration - POC 2024 (Lead Dev, 2024); SAP / ERP Integration - Nouvelle implementation 2022 (Tech Lead, 2022)",2024,3095,2
33,No,Travel_Frequently,1392,SAP & ERP,3,4,Reseaux & Telecoms,5,4,Female,56,3,1,Developpeur ABAP,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,SAP / ERP Integration,"SAP PI/PO, S/4HANA, Python",CDI,Senior,"SAP Fiori Certified, SAP Certified Application Associate, SAP HANA 2.0",31,Maladie longue / Arret,Toujours en poste,"SAP / ERP Integration - Refonte 2025 (Lead Dev, 2025); SAP / ERP Integration - POC 2024 (Lead Dev, 2024); SAP / ERP Integration - Nouvelle implementation 2022 (Tech Lead, 2022)",2023,3049,1
33,No,Travel_Frequently,1392,SAP & ERP,3,4,Reseaux & Telecoms,5,4,Female,56,3,1,Developpeur ABAP,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,SAP / ERP Integration,"SAP PI/PO, S/4HANA, Python",CDI,Senior,"SAP Fiori Certified, SAP Certified Application Associate, SAP HANA 2.0",31,Maladie longue / Arret,Toujours en poste,"SAP / ERP Integration - Refonte 2025 (Lead Dev, 2025); SAP / ERP Integration - POC 2024 (Lead Dev, 2024); SAP / ERP Integration - Nouvelle implementation 2022 (Tech Lead, 2022)",2022,3111,1
33,No,Travel_Frequently,1392,SAP & ERP,3,4,Reseaux & Telecoms,5,4,Female,56,3,1,Developpeur ABAP,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,SAP / ERP Integration,"SAP PI/PO, S/4HANA, Python",CDI,Senior,"SAP Fiori Certified, SAP Certified Application Associate, SAP HANA 2.0",31,Maladie longue / Arret,Toujours en poste,"SAP / ERP Integration - Refonte 2025 (Lead Dev, 2025); SAP / ERP Integration - POC 2024 (Lead Dev, 2024); SAP / ERP Integration - Nouvelle implementation 2022 (Tech Lead, 2022)",2021,3325,1
27,No,Travel_Rarely,591,Developpement Web & Mobile,2,1,Systemes d Information,7,1,Male,40,3,1,Developpeur Fullstack,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,Developpement Fullstack JS / Web,"Agile, React, Git, Flutter, Node.js, REST API, SQL",CDD,Confirme,Aucune,8,Conges / RTT / courts arrets,Toujours en poste,"Developpement Fullstack JS / Web - POC 2025 (Analyste, 2025); Developpement Fullstack JS / Web - Maintenance 2024 (Ingenieur, 2024); Developpement Fullstack JS / Web - Refonte 2023 (Developpeur, 2023); Developpement Fullstack JS / Web - Migration 2020 (Ingenieur, 2020); Developpement Fullstack JS / Web - Optimisation 2019 (Ingenieur, 2019)",2025,3780,1
27,No,Travel_Rarely,591,Developpement Web & Mobile,2,1,Systemes d Information,7,1,Male,40,3,1,Developpeur Fullstack,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,Developpement Fullstack JS / Web,"Agile, React, Git, Flutter, Node.js, REST API, SQL",CDD,Confirme,Aucune,8,Conges / RTT / courts arrets,Toujours en poste,"Developpement Fullstack JS / Web - POC 2025 (Analyste, 2025); Developpement Fullstack JS / Web - Maintenance 2024 (Ingenieur, 2024); Developpement Fullstack JS / Web - Refonte 2023 (Developpeur, 2023); Developpement Fullstack JS / Web - Migration 2020 (Ingenieur, 2020); Developpement Fullstack JS / Web - Optimisation 2019 (Ingenieur, 2019)",2024,3925,1
32,No,Travel_Frequently,1005,Developpement Web & Mobile,2,2,Informatique,8,4,Male,79,3,1,Developpeur Fullstack,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,Developpement Fullstack JS / Web,"Docker, Flutter, React",CDI,Senior,Google Mobile Web Specialist,39,Maladie longue / Arret,Toujours en poste,"Developpement Fullstack JS / Web - Evolution 2024 (Lead Dev, 2024); Developpement Fullstack JS / Web - Optimisation 2021 (Tech Lead, 2021)",2025,3488,1
32,No,Travel_Frequently,1005,Developpement Web & Mobile,2,2,Informatique,8,4,Male,79,3,1,Developpeur Fullstack,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,Developpement Fullstack JS / Web,"Docker, Flutter, React",CDI,Senior,Google Mobile Web Specialist,39,Maladie longue / Arret,Toujours en poste,"Developpement Fullstack JS / Web - Evolution 2024 (Lead Dev, 2024); Developpement Fullstack JS / Web - Optimisation 2021 (Tech Lead, 2021)",2024,3119,1
32,No,Travel_Frequently,1005,Developpement Web & Mobile,2,2,Informatique,8,4,Male,79,3,1,Developpeur Fullstack,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,Developpement Fullstack JS / Web,"Docker, Flutter, React",CDI,Senior,Google Mobile Web Specialist,39,Maladie longue / Arret,Toujours en poste,"Developpement Fullstack JS / Web - Evolution 2024 (Lead Dev, 2024); Developpement Fullstack JS / Web - Optimisation 2021 (Tech Lead, 2021)",2023,3392,2
32,No,Travel_Frequently,1005,Developpement Web & Mobile,2,2,Informatique,8,4,Male,79,3,1,Developpeur Fullstack,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,Developpement Fullstack JS / Web,"Docker, Flutter, React",CDI,Senior,Google Mobile Web Specialist,39,Maladie longue / Arret,Toujours en poste,"Developpement Fullstack JS / Web - Evolution 2024 (Lead Dev, 2024); Developpement Fullstack JS / Web - Optimisation 2021 (Tech Lead, 2021)",2022,3269,1
32,No,Travel_Frequently,1005,Developpement Web & Mobile,2,2,Informatique,8,4,Male,79,3,1,Developpeur Fullstack,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,Developpement Fullstack JS / Web,"Docker, Flutter, React",CDI,Senior,Google Mobile Web Specialist,39,Maladie longue / Arret,Toujours en poste,"Developpement Fullstack JS / Web - Evolution 2024 (Lead Dev, 2024); Developpement Fullstack JS / Web - Optimisation 2021 (Tech Lead, 2021)",2021,3299,1
59,No,Travel_Rarely,1324,DSI,3,3,Mathematiques & Statistiques,10,3,Female,81,4,1,Architecte SI,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,Architecture & Securite SI,"RGPD, IAM, REST API",CDI,Senior,TOGAF Certified,31,Maladie longue / Arret,Toujours en poste,"Architecture & Securite SI - POC 2025 (Tech Lead, 2025); Architecture & Securite SI - Refonte 2022 (Lead Dev, 2022); Architecture & Securite SI - Audit 2021 (Architecte, 2021); Architecture & Securite SI - Refonte 2019 (Tech Lead, 2019)",2025,2600,2
59,No,Travel_Rarely,1324,DSI,3,3,Mathematiques & Statistiques,10,3,Female,81,4,1,Architecte SI,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,Architecture & Securite SI,"RGPD, IAM, REST API",CDI,Senior,TOGAF Certified,31,Maladie longue / Arret,Toujours en poste,"Architecture & Securite SI - POC 2025 (Tech Lead, 2025); Architecture & Securite SI - Refonte 2022 (Lead Dev, 2022); Architecture & Securite SI - Audit 2021 (Architecte, 2021); Architecture & Securite SI - Refonte 2019 (Tech Lead, 2019)",2024,2764,2
59,No,Travel_Rarely,1324,DSI,3,3,Mathematiques & Statistiques,10,3,Female,81,4,1,Architecte SI,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,Architecture & Securite SI,"RGPD, IAM, REST API",CDI,Senior,TOGAF Certified,31,Maladie longue / Arret,Toujours en poste,"Architecture & Securite SI - POC 2025 (Tech Lead, 2025); Architecture & Securite SI - Refonte 2022 (Lead Dev, 2022); Architecture & Securite SI - Audit 2021 (Architecte, 2021); Architecture & Securite SI - Refonte 2019 (Tech Lead, 2019)",2023,2555,1
59,No,Travel_Rarely,1324,DSI,3,3,Mathematiques & Statistiques,10,3,Female,81,4,1,Architecte SI,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,Architecture & Securite SI,"RGPD, IAM, REST API",CDI,Senior,TOGAF Certified,31,Maladie longue / Arret,Toujours en poste,"Architecture & Securite SI - POC 2025 (Tech Lead, 2025); Architecture & Securite SI - Refonte 2022 (Lead Dev, 2022); Architecture & Securite SI - Audit 2021 (Architecte, 2021); Architecture & Securite SI - Refonte 2019 (Tech Lead, 2019)",2022,2645,1
30,No,Travel_Rarely,1358,QA / Test & Recette,24,1,Mathematiques & Statistiques,11,4,Male,67,3,1,Ingenieur QA,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,Test / QA / Automatisation,"Robot Framework, TestNG, Postman, REST API, Cypress",CDI,Junior,Aucune,19,Conges / RTT / courts arrets,Toujours en poste,"Test / QA / Automatisation - Nouvelle implementation 2024 (Developpeur, 2024); Test / QA / Automatisation - Projet client 2023 (Analyste Junior, 2023); Test / QA / Automatisation - Migration 2022 (Analyste Junior, 2022); Test / QA / Automatisation - Audit 2021 (Developpeur, 2021); Test / QA / Automatisation - Maintenance 2020 (Testeur, 2020); Test / QA / Automatisation - Evolution 2019 (Testeur, 2019)",2025,2796,1
30,No,Travel_Rarely,1358,QA / Test & Recette,24,1,Mathematiques & Statistiques,11,4,Male,67,3,1,Ingenieur QA,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,Test / QA / Automatisation,"Robot Framework, TestNG, Postman, REST API, Cypress",CDI,Junior,Aucune,19,Conges / RTT / courts arrets,Toujours en poste,"Test / QA / Automatisation - Nouvelle implementation 2024 (Developpeur, 2024); Test / QA / Automatisation - Projet client 2023 (Analyste Junior, 2023); Test / QA / Automatisation - Migration 2022 (Analyste Junior, 2022); Test / QA / Automatisation - Audit 2021 (Developpeur, 2021); Test / QA / Automatisation - Maintenance 2020 (Testeur, 2020); Test / QA / Automatisation - Evolution 2019 (Testeur, 2019)",2024,2834,1
30,No,Travel_Rarely,1358,QA / Test & Recette,24,1,Mathematiques & Statistiques,11,4,Male,67,3,1,Ingenieur QA,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,Test / QA / Automatisation,"Robot Framework, TestNG, Postman, REST API, Cypress",CDI,Junior,Aucune,19,Conges / RTT / courts arrets,Toujours en poste,"Test / QA / Automatisation - Nouvelle implementation 2024 (Developpeur, 2024); Test / QA / Automatisation - Projet client 2023 (Analyste Junior, 2023); Test / QA / Automatisation - Migration 2022 (Analyste Junior, 2022); Test / QA / Automatisation - Audit 2021 (Developpeur, 2021); Test / QA / Automatisation - Maintenance 2020 (Testeur, 2020); Test / QA / Automatisation - Evolution 2019 (Testeur, 2019)",2023,2564,1
30,No,Travel_Rarely,1358,QA / Test & Recette,24,1,Mathematiques & Statistiques,11,4,Male,67,3,1,Ingenieur QA,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,Test / QA / Automatisation,"Robot Framework, TestNG, Postman, REST API, Cypress",CDI,Junior,Aucune,19,Conges / RTT / courts arrets,Toujours en poste,"Test / QA / Automatisation - Nouvelle implementation 2024 (Developpeur, 2024); Test / QA / Automatisation - Projet client 2023 (Analyste Junior, 2023); Test / QA / Automatisation - Migration 2022 (Analyste Junior, 2022); Test / QA / Automatisation - Audit 2021 (Developpeur, 2021); Test / QA / Automatisation - Maintenance 2020 (Testeur, 2020); Test / QA / Automatisation - Evolution 2019 (Testeur, 2019)",2022,3011,1
38,No,Travel_Frequently,216,SAP & ERP,23,3,Genie Logiciel,12,4,Male,44,2,3,Architecte SAP,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,SAP / ERP Integration,"Docker, OData, SAP Fiori",CDI,Senior,SAP Certified Application Associate,27,Maladie longue / Arret,Toujours en poste,"SAP / ERP Integration - Evolution 2024 (Consultant Senior, 2024); SAP / ERP Integration - Integration 2023 (Lead Dev, 2023); SAP / ERP Integration - Migration 2022 (Lead Dev, 2022); SAP / ERP Integration - Maintenance 2021 (Architecte, 2021); SAP / ERP Integration - Migration 2020 (Lead Dev, 2020); SAP / ERP Integration - POC 2019 (Consultant Senior, 2019)",2025,9874,3
38,No,Travel_Frequently,216,SAP & ERP,23,3,Genie Logiciel,12,4,Male,44,2,3,Architecte SAP,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,SAP / ERP Integration,"Docker, OData, SAP Fiori",CDI,Senior,SAP Certified Application Associate,27,Maladie longue / Arret,Toujours en poste,"SAP / ERP Integration - Evolution 2024 (Consultant Senior, 2024); SAP / ERP Integration - Integration 2023 (Lead Dev, 2023); SAP / ERP Integration - Migration 2022 (Lead Dev, 2022); SAP / ERP Integration - Maintenance 2021 (Architecte, 2021); SAP / ERP Integration - Migration 2020 (Lead Dev, 2020); SAP / ERP Integration - POC 2019 (Consultant Senior, 2019)",2024,10307,3
38,No,Travel_Frequently,216,SAP & ERP,23,3,Genie Logiciel,12,4,Male,44,2,3,Architecte SAP,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,SAP / ERP Integration,"Docker, OData, SAP Fiori",CDI,Senior,SAP Certified Application Associate,27,Maladie longue / Arret,Toujours en poste,"SAP / ERP Integration - Evolution 2024 (Consultant Senior, 2024); SAP / ERP Integration - Integration 2023 (Lead Dev, 2023); SAP / ERP Integration - Migration 2022 (Lead Dev, 2022); SAP / ERP Integration - Maintenance 2021 (Architecte, 2021); SAP / ERP Integration - Migration 2020 (Lead Dev, 2020); SAP / ERP Integration - POC 2019 (Consultant Senior, 2019)",2023,9063,3
36,No,Travel_Rarely,1299,ProdOps / Exploitation,27,3,Commerce / Management,13,3,Male,94,3,2,Ingenieur de Production,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,Infrastructure & Production,"Jira, Python, Monitoring, ITIL, Cron",CDI,Expert,"Red Hat RHCSA, ITIL Intermediate",32,Maladie longue / Arret,Toujours en poste,"Infrastructure & Production - Migration 2025 (Scrum Master, 2025); Infrastructure & Production - Projet client 2024 (Architecte, 2024); Infrastructure & Production - Refonte 2023 (Scrum Master, 2023); Infrastructure & Production - Integration 2021 (Scrum Master, 2021); Infrastructure & Production - Projet client 2020 (Scrum Master, 2020); Infrastructure & Production - Nouvelle implementation 2019 (Directeur Technique, 2019)",2025,5624,2
36,No,Travel_Rarely,1299,ProdOps / Exploitation,27,3,Commerce / Management,13,3,Male,94,3,2,Ingenieur de Production,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,Infrastructure & Production,"Jira, Python, Monitoring, ITIL, Cron",CDI,Expert,"Red Hat RHCSA, ITIL Intermediate",32,Maladie longue / Arret,Toujours en poste,"Infrastructure & Production - Migration 2025 (Scrum Master, 2025); Infrastructure & Production - Projet client 2024 (Architecte, 2024); Infrastructure & Production - Refonte 2023 (Scrum Master, 2023); Infrastructure & Production - Integration 2021 (Scrum Master, 2021); Infrastructure & Production - Projet client 2020 (Scrum Master, 2020); Infrastructure & Production - Nouvelle implementation 2019 (Directeur Technique, 2019)",2024,5513,2
36,No,Travel_Rarely,1299,ProdOps / Exploitation,27,3,Commerce / Management,13,3,Male,94,3,2,Ingenieur de Production,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,Infrastructure & Production,"Jira, Python, Monitoring, ITIL, Cron",CDI,Expert,"Red Hat RHCSA, ITIL Intermediate",32,Maladie longue / Arret,Toujours en poste,"Infrastructure & Production - Migration 2025 (Scrum Master, 2025); Infrastructure & Production - Projet client 2024 (Architecte, 2024); Infrastructure & Production - Refonte 2023 (Scrum Master, 2023); Infrastructure & Production - Integration 2021 (Scrum Master, 2021); Infrastructure & Production - Projet client 2020 (Scrum Master, 2020); Infrastructure & Production - Nouvelle implementation 2019 (Directeur Technique, 2019)",2023,5173,2
36,No,Travel_Rarely,1299,ProdOps / Exploitation,27,3,Commerce / Management,13,3,Male,94,3,2,Ingenieur de Production,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,Infrastructure & Production,"Jira, Python, Monitoring, ITIL, Cron",CDI,Expert,"Red Hat RHCSA, ITIL Intermediate",32,Maladie longue / Arret,Toujours en poste,"Infrastructure & Production - Migration 2025 (Scrum Master, 2025); Infrastructure & Production - Projet client 2024 (Architecte, 2024); Infrastructure & Production - Refonte 2023 (Scrum Master, 2023); Infrastructure & Production - Integration 2021 (Scrum Master, 2021); Infrastructure & Production - Projet client 2020 (Scrum Master, 2020); Infrastructure & Production - Nouvelle implementation 2019 (Directeur Technique, 2019)",2022,5555,2
